0.000,0.002,0.002,0.002,0.002

lap,curlap_birth,alllaps_birth,curlap_global,alllaps_global,curlap_io,alllaps_io,curlap_local,alllaps_local,curlap_merge,alllaps_merge,curlap_total,alllaps_total
1.000,1.081,1.081,0.003,0.003,0.005,0.007,0.040,0.040,0.000,0.000,1.129,1.131

2.000,0.005,1.086,0.008,0.011,0.003,0.010,0.019,0.059,0.006,0.006,0.041,1.173

3.000,0.004,1.090,0.011,0.022,0.000,0.010,0.009,0.068,0.006,0.012,0.030,1.203

4.000,0.006,1.096,0.010,0.032,0.002,0.012,0.018,0.086,0.003,0.015,0.038,1.241

5.000,0.004,1.100,0.007,0.039,0.003,0.015,0.010,0.096,0.006,0.021,0.030,1.271

6.000,0.002,1.102,0.004,0.042,0.000,0.015,0.016,0.112,0.002,0.023,0.024,1.295

7.000,0.003,1.105,0.003,0.045,0.000,0.015,0.015,0.127,0.003,0.026,0.024,1.319

8.000,0.002,1.108,0.003,0.049,0.003,0.018,0.019,0.145,0.003,0.029,0.030,1.349

9.000,0.004,1.112,0.006,0.055,0.000,0.018,0.028,0.174,0.006,0.034,0.045,1.393

10.000,0.004,1.116,0.006,0.062,0.002,0.021,0.029,0.203,0.004,0.038,0.046,1.439

11.000,0.004,1.120,0.006,0.068,0.000,0.021,0.013,0.216,0.006,0.044,0.029,1.469

12.000,0.004,1.125,0.006,0.074,0.000,0.021,0.025,0.241,0.003,0.047,0.039,1.507

13.000,0.004,1.129,0.006,0.080,0.000,0.021,0.028,0.269,0.006,0.053,0.045,1.552

14.000,0.003,1.132,0.005,0.085,0.000,0.021,0.034,0.303,0.003,0.055,0.044,1.596

15.000,0.002,1.134,0.003,0.088,0.002,0.023,0.031,0.334,0.007,0.062,0.045,1.641

16.000,0.004,1.138,0.003,0.091,0.000,0.023,0.033,0.367,0.003,0.065,0.043,1.684

17.000,0.003,1.141,0.003,0.094,0.000,0.023,0.035,0.402,0.006,0.070,0.046,1.730

18.000,0.002,1.143,0.004,0.098,0.000,0.023,0.024,0.426,0.002,0.072,0.032,1.762

19.000,0.003,1.146,0.004,0.102,0.000,0.023,0.028,0.455,0.003,0.075,0.037,1.800

20.000,0.008,1.154,0.005,0.107,0.006,0.029,0.026,0.481,0.005,0.080,0.051,1.851

