0.000,0.002,0.002,0.002,0.002

lap,curlap_loadbatch,alllaps_loadbatch,curlap_saveparams,alllaps_saveparams,curlap_total,alllaps_total
1.000,0.000,0.000,0.005,0.007,0.005,0.007

2.000,0.000,0.000,0.003,0.010,0.003,0.010

3.000,0.000,0.000,0.000,0.010,0.000,0.010

4.000,0.000,0.000,0.002,0.012,0.002,0.012

5.000,0.000,0.000,0.003,0.015,0.003,0.015

6.000,0.000,0.000,0.000,0.015,0.000,0.015

7.000,0.000,0.000,0.000,0.015,0.000,0.015

8.000,0.000,0.000,0.003,0.018,0.003,0.018

9.000,0.000,0.000,0.000,0.018,0.000,0.018

10.000,0.000,0.000,0.002,0.020,0.002,0.021

11.000,0.000,0.000,0.000,0.020,0.000,0.021

12.000,0.000,0.000,0.000,0.020,0.000,0.021

13.000,0.000,0.000,0.000,0.020,0.000,0.021

14.000,0.000,0.000,0.000,0.020,0.000,0.021

15.000,0.000,0.000,0.002,0.023,0.002,0.023

16.000,0.000,0.000,0.000,0.023,0.000,0.023

17.000,0.000,0.000,0.000,0.023,0.000,0.023

18.000,0.000,0.000,0.000,0.023,0.000,0.023

19.000,0.000,0.000,0.000,0.023,0.000,0.023

20.000,0.000,0.000,0.006,0.029,0.006,0.029

